"p_val" "avg_logFC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"TCP1" 2.11013982287587e-113 0.374189557040558 0.767 0.722 5.84361021149016e-109 "4" "TCP1"
"TMED9" 1.18737734027986e-112 0.335987087855472 0.833 0.813 3.28820406843703e-108 "4" "TMED9"
"DDX18" 2.59702617702822e-112 0.513027182379249 0.635 0.547 7.19194459204426e-108 "4" "DDX18"
"RPLP1" 4.10909488598266e-111 0.26125293421457 1 1 1.13793164677518e-106 "4" "RPLP1"
"RPL7L1" 4.88541982739458e-111 0.485203180257184 0.605 0.505 1.35291931280038e-106 "4" "RPL7L1"
"FBL1" 5.97312796548113e-111 0.372912898874285 0.704 0.621 1.65413832748069e-106 "4" "FBL"
"SARS" 8.71822252662499e-111 0.401871962934526 0.703 0.651 2.41433736429826e-106 "4" "SARS"
"KDELR2" 1.2900665317354e-110 0.379335849575783 0.74 0.688 3.57258124633484e-106 "4" "KDELR2"
"NOP58" 2.95745909274676e-110 0.499484873735869 0.557 0.431 8.19009146554361e-106 "4" "NOP58"
"EIF3J" 1.10043071606792e-109 0.475081974967304 0.638 0.553 3.0474227820069e-105 "4" "EIF3J"
"RBM39" 1.32757009303319e-109 0.370556117092694 0.779 0.784 3.6764398586368e-105 "4" "RBM39"
"PLK2" 1.35960293690073e-109 0.550170716712736 0.512 0.369 3.76514841315919e-105 "4" "PLK2"
"SELK" 1.37504994529729e-109 0.398382810412248 0.821 0.831 3.8079258135118e-105 "4" "SELK"
"HERPUD1" 1.01034659482364e-108 0.67740709882486 0.722 0.684 2.7979528250451e-104 "4" "HERPUD1"
"MIR22HG" 2.47124587433709e-108 0.439830539663525 0.324 0.177 6.84362119980169e-104 "4" "MIR22HG"
"SPOP" 7.24577830723181e-108 0.543391261320788 0.375 0.236 2.00657338662171e-103 "4" "SPOP"
"PPP1R12A" 1.10012206990667e-107 0.450849439485164 0.491 0.358 3.04656804819254e-103 "4" "PPP1R12A"
"LUZP1" 2.00940186152046e-107 0.465026502097437 0.368 0.223 5.5646365751086e-103 "4" "LUZP1"
"CSNK1A1" 3.54228870103244e-107 0.394109887702059 0.724 0.701 9.80966009976913e-103 "4" "CSNK1A1"
"KLC31" 3.69869575100606e-107 0.427509070850501 0.418 0.265 1.02427981432611e-102 "4" "KLC3"
"GADD45B1" 5.87001518028789e-106 0.979018203459002 0.634 0.515 1.62558330387713e-101 "4" "GADD45B"
"EEF2" 6.72604890792336e-106 0.27055125032827 0.969 0.975 1.86264472407122e-101 "4" "EEF2"
"GPATCH4" 8.08116539314834e-106 0.521417347096998 0.495 0.355 2.23791713232457e-101 "4" "GPATCH4"
"PDLIM41" 1.36124821650072e-105 0.362401659825152 0.722 0.622 3.76970468595545e-101 "4" "PDLIM4"
"CRIM1" 1.60612110656777e-104 0.452147276262665 0.33 0.188 4.44783118041813e-100 "4" "CRIM1"
"LYAR" 2.06213367935917e-104 0.469063619889667 0.443 0.298 5.71066679824935e-100 "4" "LYAR"
"PXDC1" 2.72663941207819e-104 0.431755581072934 0.353 0.205 7.55088252386814e-100 "4" "PXDC1"
"DNTTIP2" 1.50772613876557e-103 0.458756390031211 0.569 0.459 4.17534599608348e-99 "4" "DNTTIP2"
"ILF2" 2.90302972134657e-103 0.391386389730217 0.793 0.753 8.03936020732504e-99 "4" "ILF2"
"RSRC2" 4.58270596560936e-103 0.45485041717697 0.663 0.609 1.2690887630562e-98 "4" "RSRC2"
"CDC42EP3" 1.56287771483331e-102 0.42851901680394 0.354 0.21 4.3280772556879e-98 "4" "CDC42EP3"
"SNRPB" 5.40548538186375e-102 0.316439301541291 0.859 0.842 1.49694106679953e-97 "4" "SNRPB"
"RRS1" 1.4223945784075e-101 0.497986982901043 0.409 0.268 3.93903730598388e-97 "4" "RRS1"
"FTL" 2.16465968473744e-101 0.513116315078183 0.976 0.989 5.99459206494339e-97 "4" "FTL"
"RNF1141" 2.90342413145171e-100 0.394433636252941 0.673 0.603 8.04045244722922e-96 "4" "RNF114"
"VDAC2" 4.63802545808263e-99 0.299137621072036 0.821 0.809 1.28440839010682e-94 "4" "VDAC2"
"NEDD9" 5.06270931401636e-99 0.411598822653616 0.395 0.249 1.40201609033055e-94 "4" "NEDD9"
"F31" 1.74491639285721e-98 0.452232943148462 0.457 0.3 4.83219696673947e-94 "4" "F3"
"CALU" 2.43160012518126e-98 0.403952278391262 0.575 0.472 6.73383022666447e-94 "4" "CALU"
"RRP9" 6.71776844006233e-98 0.493874595308689 0.403 0.263 1.86035161410646e-93 "4" "RRP9"
"AMIGO2" 9.84080105753631e-98 0.383810693993818 0.312 0.167 2.72521303686353e-93 "4" "AMIGO2"
"GARS" 1.13374470185873e-97 0.419197956556229 0.567 0.462 3.13967920285739e-93 "4" "GARS"
"GLIPR11" 1.55819460740243e-97 0.428907400307927 0.504 0.361 4.31510832627954e-93 "4" "GLIPR1"
"HNRNPH3" 2.45807884103834e-97 0.428103881963362 0.65 0.59 6.80715773448747e-93 "4" "HNRNPH3"
"EIF4H" 4.76080317073843e-96 0.336503335195231 0.722 0.695 1.31840922207259e-91 "4" "EIF4H"
"SQSTM1" 4.50428796124311e-95 0.341783831830287 0.889 0.882 1.24737246510705e-90 "4" "SQSTM1"
"NOP16" 9.35892774622925e-95 0.496660756501865 0.521 0.395 2.59176786076326e-90 "4" "NOP16"
"NARS" 4.79693002778526e-94 0.390475195750375 0.662 0.6 1.32841383259457e-89 "4" "NARS"
"EIF5B" 8.27406577607566e-94 0.40734685997256 0.751 0.712 2.29133703536863e-89 "4" "EIF5B"
"SFPQ" 1.30779980176618e-91 0.498846415792494 0.61 0.539 3.62168999103109e-87 "4" "SFPQ"
"SPHK11" 4.33674916988778e-91 0.448840353989645 0.463 0.334 1.20097594761702e-86 "4" "SPHK1"
"IGFBP21" 4.36351766884268e-91 0.49788060660223 0.44 0.289 1.2083889480326e-86 "4" "IGFBP2"
"CBX1" 3.00033689392619e-90 0.433907058781205 0.488 0.381 8.30883296034979e-86 "4" "CBX1"
"FGFR1OP2" 4.87715553885342e-90 0.431806913912833 0.445 0.326 1.35063068337468e-85 "4" "FGFR1OP2"
"SON" 8.05975181225427e-90 0.44736042025675 0.722 0.686 2.23198706936758e-85 "4" "SON"
"CCT4" 1.59116232340597e-89 0.355924048708901 0.768 0.746 4.40640582220814e-85 "4" "CCT4"
"MAEA" 5.2592549909145e-89 0.463771767566529 0.399 0.273 1.45644548463395e-84 "4" "MAEA"
"MYO1B" 1.2917968964661e-87 0.397558830282967 0.514 0.393 3.57737314538357e-83 "4" "MYO1B"
"PSAT1" 1.8187044580429e-86 0.370642851561975 0.359 0.219 5.03653825565821e-82 "4" "PSAT1"
"BTG3" 3.13331248513968e-86 0.344219940918324 0.705 0.66 8.67708226509731e-82 "4" "BTG3"
"ZFAS1" 6.93913880243482e-86 0.346763075007047 0.886 0.894 1.92165570855827e-81 "4" "ZFAS1"
"NOP56" 1.15367832348123e-85 0.505334955869553 0.544 0.439 3.19488138121656e-81 "4" "NOP56"
"SESN2" 2.11877636173806e-85 0.368012270022184 0.278 0.152 5.86752737856122e-81 "4" "SESN2"
"UTP4" 2.45974161583483e-85 0.393263032218638 0.346 0.214 6.81176245673139e-81 "4" "UTP4"
"BCAR3" 9.27626206750366e-85 0.402695897101375 0.316 0.188 2.56887525435379e-80 "4" "BCAR3"
"RBM8A" 1.01011392146261e-84 0.384041708059537 0.799 0.784 2.7973084827064e-80 "4" "RBM8A"
"NXT1" 5.72924257682918e-84 0.435918225055602 0.487 0.376 1.5865991468013e-79 "4" "NXT1"
"MAFF" 8.55111029310473e-84 0.41977280732916 0.608 0.527 2.36805897346949e-79 "4" "MAFF"
"NAA15" 1.04116341123607e-83 0.417519565261046 0.357 0.231 2.88329383473606e-79 "4" "NAA15"
"TOMM40" 1.05486835377172e-83 0.45024674388404 0.537 0.434 2.92124693210003e-79 "4" "TOMM40"
"CORO1C" 3.59111175076555e-83 0.39157010443369 0.439 0.315 9.94486577139505e-79 "4" "CORO1C"
"TNFAIP3" 1.81361803970044e-82 0.470671581500052 0.349 0.219 5.02245243734242e-78 "4" "TNFAIP3"
"DNAJB6" 7.17427930732262e-81 0.309190687731175 0.803 0.808 1.98677316857685e-76 "4" "DNAJB6"
"NOLC1" 1.19911145304862e-80 0.381895717409128 0.445 0.321 3.32069934692753e-76 "4" "NOLC1"
"SRGAP1" 3.64258937907543e-80 0.417642350331581 0.366 0.239 1.00874227674736e-75 "4" "SRGAP1"
"HNRNPU" 4.74061226822678e-80 0.372954358186327 0.7 0.681 1.31281775544004e-75 "4" "HNRNPU"
"CDC37L1" 5.10826546378326e-80 0.397837175615474 0.39 0.273 1.4146319548855e-75 "4" "CDC37L1"
"CSRP2" 6.75596206027493e-80 0.363961623091767 0.372 0.237 1.87092857335194e-75 "4" "CSRP2"
"RAB32" 5.85258063040824e-79 0.389826732983289 0.509 0.396 1.62075515397895e-74 "4" "RAB32"
"EIF1AX" 1.10675470333668e-78 0.394798662101082 0.698 0.68 3.06493579995027e-74 "4" "EIF1AX"
"SRRM2" 2.47756662851995e-78 0.354177817570205 0.706 0.682 6.86112526436029e-74 "4" "SRRM2"
"CNN31" 2.7584166013335e-78 0.269936011659337 0.847 0.823 7.63888309407285e-74 "4" "CNN3"
"SDC2" 3.34212963239101e-78 0.30927993970719 0.263 0.142 9.25535959098042e-74 "4" "SDC2"
"PTGES3" 8.57838049287858e-78 0.256625653538518 0.827 0.837 2.37561090989287e-73 "4" "PTGES3"
"SRSF7" 3.01233332432226e-77 0.353284623746485 0.752 0.721 8.34205467504562e-73 "4" "SRSF7"
"KIF5B" 1.11124061037269e-76 0.375644314303211 0.709 0.691 3.07735862230508e-72 "4" "KIF5B"
"SMTN" 9.26229897321575e-76 0.419592808217431 0.474 0.365 2.56500845465264e-71 "4" "SMTN"
"RASSF11" 1.99018499670277e-75 0.385098633555511 0.425 0.303 5.51141931136897e-71 "4" "RASSF1"
"GRAMD3" 2.4932557605921e-75 0.402841665830152 0.367 0.252 6.90457317780771e-71 "4" "GRAMD3"
"RNPS1" 2.36119702364023e-74 0.341483421284775 0.653 0.62 6.53886291756688e-70 "4" "RNPS1"
"CCT5" 5.75791154774554e-74 0.361988273700298 0.732 0.696 1.59453844491717e-69 "4" "CCT5"
"INPP1" 8.85853487985914e-74 0.34536349980424 0.342 0.221 2.45319406427939e-69 "4" "INPP1"
"MRTO4" 1.29778120317765e-73 0.442467767025563 0.49 0.391 3.59394548595986e-69 "4" "MRTO4"
"ARHGEF35" 1.89680588599839e-73 0.485257849327047 0.361 0.25 5.25282454009534e-69 "4" "ARHGEF35"
"RPF2" 2.11805728631431e-73 0.436366982355924 0.468 0.37 5.86553604299021e-69 "4" "RPF2"
"LY6K" 2.80385184700781e-73 0.376310819245664 0.399 0.275 7.76470691991874e-69 "4" "LY6K"
"EBNA1BP2" 6.71944144320064e-73 0.476392771455095 0.613 0.548 1.86081491886555e-68 "4" "EBNA1BP2"
"HNRNPDL" 2.06487715518487e-72 0.270585140239838 0.85 0.87 5.71826430585345e-68 "4" "HNRNPDL"
"GNAI1" 2.82823875394962e-72 0.315303243210764 0.259 0.145 7.83224158131269e-68 "4" "GNAI1"
"EIF4A2" 3.83719773388799e-72 0.296030867715854 0.821 0.816 1.0626351684456e-67 "4" "EIF4A2"
"ABCE1" 4.45467387246028e-72 0.413256715927504 0.446 0.342 1.23363283550043e-67 "4" "ABCE1"
"SLC25A4" 9.47331182072936e-72 0.458533539117482 0.491 0.401 2.62344424251458e-67 "4" "SLC25A4"
"FAM96B" 1.35599363987208e-71 0.331294926481425 0.738 0.725 3.75515318689776e-67 "4" "FAM96B"
"TPM41" 2.93965027806966e-71 0.360941810710109 0.762 0.747 8.1407735150583e-67 "4" "TPM4"
"CAP1" 4.67301088929842e-71 0.316539320606358 0.706 0.701 1.29409690557341e-66 "4" "CAP1"
"CLMP1" 6.55403363468275e-71 0.278218716148464 0.365 0.224 1.81500853445269e-66 "4" "CLMP"
"GNL2" 1.64394531703637e-70 0.46658068237894 0.476 0.386 4.55257776646882e-66 "4" "GNL2"
"PSMD11" 1.81788421254033e-70 0.350021295890675 0.652 0.608 5.03426674978794e-66 "4" "PSMD11"
"RAB7A" 5.22918648682382e-70 0.33175863246223 0.757 0.769 1.44811861379612e-65 "4" "RAB7A"
"ATP2B1" 7.17869105788019e-70 0.35115632165498 0.346 0.225 1.98799491465876e-65 "4" "ATP2B1"
"RCN1" 1.08794921962506e-69 0.355694380740004 0.644 0.601 3.01285777390769e-65 "4" "RCN1"
"DNAJB11" 8.01179683737848e-69 0.366532128266241 0.576 0.514 2.21870689817522e-64 "4" "DNAJB11"
"PPP2R2A" 8.76164801993412e-69 0.37667440598928 0.576 0.511 2.42636318616036e-64 "4" "PPP2R2A"
"EIF2S1" 1.1104770049062e-68 0.410465558896484 0.586 0.52 3.07524396968675e-64 "4" "EIF2S1"
"ITGA2" 1.30230967280487e-68 0.413234587545967 0.524 0.423 3.60648617689851e-64 "4" "ITGA2"
"BYSL" 1.89145469612859e-68 0.403465693264611 0.33 0.218 5.23800548998891e-64 "4" "BYSL"
"THUMPD2" 2.68321983137143e-68 0.340015528644802 0.268 0.158 7.4306406790169e-64 "4" "THUMPD2"
"PNRC2" 2.09853422931218e-67 0.403625564828768 0.512 0.439 5.81147084123422e-63 "4" "PNRC2"
"SERPINH1" 2.94358743783004e-67 0.369121766742246 0.391 0.274 8.15167669158274e-63 "4" "SERPINH1"
"NIP7" 1.0115794139293e-66 0.458332509156682 0.386 0.282 2.80136687099441e-62 "4" "NIP7"
"SEC62" 1.19518230133173e-66 0.329626103054687 0.713 0.708 3.30981834707797e-62 "4" "SEC62"
"SNU13" 4.4661980889109e-66 0.263264933290759 0.826 0.822 1.23682423676209e-61 "4" "SNU13"
"CCT6A" 5.77149971370474e-66 0.352954186029675 0.705 0.683 1.59830141571625e-61 "4" "CCT6A"
"SF3B6" 8.11921635046068e-66 0.297988487005127 0.81 0.822 2.24845458393308e-61 "4" "SF3B6"
"GOLGA4" 1.04295123981039e-65 0.38124720191547 0.604 0.583 2.88824486840691e-61 "4" "GOLGA4"
"AKIRIN1" 1.38256146777542e-65 0.375282753094107 0.374 0.27 3.82872747271046e-61 "4" "AKIRIN1"
"HNRNPAB" 1.80174306965811e-65 0.379394304311719 0.526 0.448 4.98956708280419e-61 "4" "HNRNPAB"
"CCT8" 5.5400303376557e-65 0.303440135080442 0.757 0.748 1.53420060140699e-60 "4" "CCT8"
"NOB1" 8.13653564506839e-65 0.39523398118553 0.551 0.491 2.25325081618879e-60 "4" "NOB1"
"PA2G4" 9.95586814864945e-65 0.346034816547092 0.714 0.699 2.75707856640549e-60 "4" "PA2G4"
"DKC1" 3.80774967934287e-64 0.414729511491403 0.483 0.391 1.05448011870042e-59 "4" "DKC1"
"MAGOH" 3.94719112369291e-64 0.40235780953238 0.558 0.494 1.09309563788428e-59 "4" "MAGOH"
"DDX5" 2.69346172260412e-63 0.368946460448919 0.848 0.845 7.4590035484076e-59 "4" "DDX5"
"PMAIP1" 4.23521659960775e-63 0.410289901189534 0.478 0.379 1.17285853292937e-58 "4" "PMAIP1"
"RBM17" 4.70380419199028e-63 0.357507376254702 0.538 0.481 1.30262449488787e-58 "4" "RBM17"
"CCNL1" 6.80267497129747e-63 0.358232063337421 0.62 0.586 1.88386477980141e-58 "4" "CCNL1"
"CEBPD1" 1.45817869322124e-62 0.369525694437352 0.899 0.897 4.03813425513759e-58 "4" "CEBPD"
"MTDH" 1.55221919475138e-61 0.345603189036697 0.669 0.663 4.29856061602501e-57 "4" "MTDH"
"TUBB2A" 4.23073896798476e-61 0.380563709984271 0.421 0.316 1.17161854240402e-56 "4" "TUBB2A"
"CCDC59" 8.21249654784264e-61 0.420761862111036 0.462 0.38 2.27428666899406e-56 "4" "CCDC59"
"PRPF38B" 1.11782954044676e-60 0.369059023423657 0.582 0.537 3.09560534635921e-56 "4" "PRPF38B"
"HNRNPK" 1.54027066916615e-60 0.253092563724593 0.862 0.868 4.26547156412183e-56 "4" "HNRNPK"
"FDX1" 1.49490504626415e-59 0.363599228456449 0.508 0.438 4.13984054461931e-55 "4" "FDX1"
"GRWD1" 1.60752226117217e-59 0.407199835903044 0.357 0.256 4.45171139786409e-55 "4" "GRWD1"
"ZC3H15" 3.63854573571652e-58 0.343137579203721 0.603 0.57 1.00762247059198e-53 "4" "ZC3H15"
"HNRNPC" 1.13279429949162e-57 0.26116943610096 0.795 0.833 3.13704725358214e-53 "4" "HNRNPC"
"POLR1C" 1.3776493024565e-57 0.368965595390362 0.357 0.257 3.81512421329278e-53 "4" "POLR1C"
"HNRNPR" 5.31060994728427e-57 0.336875062612026 0.597 0.56 1.47066721270143e-52 "4" "HNRNPR"
"SNHG12" 1.31777871651088e-56 0.41286691141634 0.367 0.269 3.64932459963359e-52 "4" "SNHG12"
"GAR1" 1.73533991731295e-56 0.433157214459478 0.416 0.331 4.80567683301474e-52 "4" "GAR1"
"SNRPD1" 1.82793045819829e-56 0.3556179830796 0.711 0.707 5.06208781788853e-52 "4" "SNRPD1"
"TXLNG" 2.85562237127496e-56 0.358605716253044 0.288 0.189 7.90807503277176e-52 "4" "TXLNG"
"UBE2N" 4.39078401829169e-56 0.362449789463305 0.601 0.57 1.21593981818552e-51 "4" "UBE2N"
"NEDD4L" 4.59292841033074e-56 0.380547648125579 0.362 0.268 1.27191966467289e-51 "4" "NEDD4L"
"PPP2CA" 1.19729352093267e-55 0.328192604025298 0.607 0.581 3.31566494751883e-51 "4" "PPP2CA"
"C1orf109" 1.76032539692646e-55 0.348767989101539 0.28 0.181 4.87486912170844e-51 "4" "C1orf109"
"YARS" 5.08925839863579e-55 0.343773710718476 0.475 0.402 1.40936832833421e-50 "4" "YARS"
"HNRNPF" 5.1280897868929e-55 0.286947245978478 0.734 0.728 1.42012190468425e-50 "4" "HNRNPF"
"RRP15" 1.13697004767001e-54 0.402641682818406 0.345 0.251 3.14861115301255e-50 "4" "RRP15"
"UTP11L" 2.66411151093385e-54 0.366847975649544 0.45 0.369 7.37772400722912e-50 "4" "UTP11L"
"TRA2B" 3.08642845523276e-54 0.361251056718919 0.553 0.514 8.54724632107609e-50 "4" "TRA2B"
"GRPEL1" 3.45923162407374e-54 0.389348585646661 0.545 0.497 9.5796501365474e-50 "4" "GRPEL1"
"ARPC5" 1.53383644217774e-53 0.321187622574023 0.653 0.653 4.2476532593228e-49 "4" "ARPC5"
"MRPS17" 8.20223952631104e-53 0.319363842419522 0.316 0.219 2.27144619202132e-48 "4" "MRPS17"
"SLC38A1" 8.5578124735626e-53 0.308952557984259 0.517 0.449 2.36991500830369e-48 "4" "SLC38A1"
"RAD23A" 9.57191579202581e-53 0.256821464284851 0.755 0.773 2.65075064028571e-48 "4" "RAD23A"
"NOC3L" 2.75817211570167e-52 0.336226783151513 0.254 0.16 7.63820604001263e-48 "4" "NOC3L"
"PSMD8" 4.49054903830502e-52 0.264326329901244 0.807 0.805 1.24356774517781e-47 "4" "PSMD8"
"CYLD" 4.74707070328339e-52 0.328687251314161 0.306 0.21 1.31460628986027e-47 "4" "CYLD"
"EIF3I" 4.89839479641864e-52 0.307210620699599 0.826 0.842 1.35651247097221e-47 "4" "EIF3I"
"CDV3" 5.0779499059097e-52 0.366711160160567 0.461 0.401 1.40623666744357e-47 "4" "CDV3"
"ADPRHL2" 9.02328993874407e-52 0.365010692104857 0.43 0.348 2.4988196827364e-47 "4" "ADPRHL2"
"AK6" 9.14636389349285e-52 0.395311426385612 0.517 0.462 2.53290255302498e-47 "4" "AK6"
"SRSF11" 7.09218247042179e-50 0.308285713519891 0.655 0.66 1.96403809153391e-45 "4" "SRSF11"
"DNAJB9" 1.25469445112196e-49 0.414813151041776 0.496 0.437 3.47462534349204e-45 "4" "DNAJB9"
"RRAS2" 1.39990269451056e-49 0.371868758379658 0.451 0.382 3.87675053190809e-45 "4" "RRAS2"
"NAP1L1" 1.81330697781983e-49 0.288629172542809 0.734 0.779 5.02159101367646e-45 "4" "NAP1L1"
"BUD31" 3.04453061615466e-49 0.289182070545187 0.663 0.672 8.43121863531711e-45 "4" "BUD31"
"CCDC47" 3.10250989638345e-49 0.334817333595607 0.503 0.446 8.5917806560547e-45 "4" "CCDC47"
"IFRD2" 1.18205130098373e-48 0.346876900742808 0.541 0.491 3.27345466781426e-44 "4" "IFRD2"
"WBP5" 2.52106355715481e-48 0.372788362784641 0.55 0.511 6.98158130882882e-44 "4" "WBP5"
"PSMD12" 4.92692839841297e-48 0.332775475133302 0.54 0.492 1.3644142813725e-43 "4" "PSMD12"
"NABP1" 5.34815666656006e-48 0.332263065033963 0.315 0.225 1.48106502567048e-43 "4" "NABP1"
"KPNA4" 6.86052805584752e-48 0.348926882172036 0.35 0.267 1.89988603450585e-43 "4" "KPNA4"
"TIMM17A" 7.35463785188667e-48 0.334854851861519 0.536 0.484 2.03671986032298e-43 "4" "TIMM17A"
"CHMP2B" 9.65214172622194e-48 0.358019488119557 0.546 0.521 2.67296760824264e-43 "4" "CHMP2B"
"ANKRD11" 2.54729632370005e-47 0.347725172917821 0.49 0.431 7.05422770922254e-43 "4" "ANKRD11"
"WBSCR22" 2.68203063949881e-47 0.341852230538856 0.589 0.556 7.42734744996406e-43 "4" "WBSCR22"
"SERP1" 3.67857295679715e-47 0.299315129873863 0.778 0.832 1.01870720892583e-42 "4" "SERP1"
"AMD1" 3.99785670521759e-47 0.412643486378577 0.487 0.432 1.10712645737591e-42 "4" "AMD1"
"PITHD1" 4.51438214444095e-47 0.324944575882767 0.411 0.334 1.25016784726003e-42 "4" "PITHD1"
"EIF3A" 9.37050206495034e-47 0.340878438982883 0.574 0.547 2.5949731368467e-42 "4" "EIF3A"
"ANKLE2" 1.8201319203598e-46 0.315651097015726 0.459 0.393 5.04049132705238e-42 "4" "ANKLE2"
"APOE1" 2.45744917119183e-46 0.253441689382912 0.433 0.321 6.80541398978154e-42 "4" "APOE"
"LTV1" 4.6977542885086e-46 0.357577915025957 0.318 0.232 1.30094909511669e-41 "4" "LTV1"
"PCNP" 5.23131890931189e-46 0.271632467001357 0.688 0.713 1.44870914555574e-41 "4" "PCNP"
"FOXO3" 7.95141664239736e-46 0.356550959061607 0.355 0.276 2.2019858107791e-41 "4" "FOXO3"
"DFFA" 1.00526084645856e-45 0.387604299467299 0.401 0.324 2.78386886209768e-41 "4" "DFFA"
"MARS" 1.21040143973799e-45 0.320063792414927 0.415 0.339 3.35196470706642e-41 "4" "MARS"
"ARMC8" 3.28954240859098e-45 0.288760359194091 0.267 0.18 9.10972979211099e-41 "4" "ARMC8"
"EIF5A" 4.59807764498402e-45 0.314427081269977 0.803 0.828 1.27334564222542e-40 "4" "EIF5A"
"LAMC2" 7.57901180512046e-45 0.346342404437571 0.416 0.336 2.09885573919201e-40 "4" "LAMC2"
"FHL3" 9.83292288569722e-45 0.256219045512112 0.257 0.17 2.72303133473613e-40 "4" "FHL3"
"TARS" 9.83595488319663e-45 0.313266548284155 0.471 0.41 2.72387098580364e-40 "4" "TARS"
"EIF4E" 1.00619842022376e-44 0.367999980172602 0.569 0.55 2.78646528512566e-40 "4" "EIF4E"
"BOD1" 2.50779509371291e-44 0.299723303809847 0.45 0.382 6.94483695301916e-40 "4" "BOD1"
"ZPR1" 4.83455783130572e-44 0.359378919429551 0.378 0.304 1.33883410022349e-39 "4" "ZPR1"
"CRY1" 7.17299499680126e-44 0.30526030544925 0.268 0.183 1.98641750446417e-39 "4" "CRY1"
"BIRC2" 1.28704632138242e-43 0.305059800120846 0.41 0.338 3.56421737780433e-39 "4" "BIRC2"
"VCP" 2.00885941914869e-43 0.266935474976019 0.683 0.686 5.56313438944845e-39 "4" "VCP"
"ESF1" 2.55844580532715e-43 0.365388939327213 0.385 0.31 7.08510396869248e-39 "4" "ESF1"
"DCAF13" 3.5739073721905e-43 0.400914853126866 0.463 0.4 9.89722168580715e-39 "4" "DCAF13"
"CMSS1" 3.77410908684861e-43 0.342747707900908 0.416 0.347 1.04516402942099e-38 "4" "CMSS1"
"GLRX3" 7.54737531794036e-43 0.315113280409752 0.628 0.614 2.09009464679722e-38 "4" "GLRX3"
"C9orf3" 1.00921854167509e-42 0.303787844613955 0.293 0.208 2.79482890746082e-38 "4" "C9orf3"
"NOC2L" 1.37366829566093e-42 0.358769396534032 0.459 0.401 3.80409961117381e-38 "4" "NOC2L"
"PSMD7" 2.48427208919968e-42 0.283537840541156 0.685 0.682 6.87969469662068e-38 "4" "PSMD7"
"MGAT1" 2.76265608470201e-42 0.309494285121863 0.417 0.345 7.65062349536526e-38 "4" "MGAT1"
"FKBP4" 7.68946640677e-42 0.321129853527403 0.614 0.609 2.12944393202682e-37 "4" "FKBP4"
"SRSF10" 1.92709440510365e-41 0.331007762496141 0.542 0.519 5.33670253605354e-37 "4" "SRSF10"
"KPNB1" 2.04869922273438e-41 0.325884849872909 0.56 0.54 5.67346275751832e-37 "4" "KPNB1"
"PPAN" 5.11372988065922e-41 0.334502217499135 0.315 0.234 1.41614521585096e-36 "4" "PPAN"
"SPG20" 2.11779172236021e-40 0.326460836261679 0.418 0.354 5.86480061673214e-36 "4" "SPG20"
"TERF2IP" 2.27300077134478e-40 0.326786105125129 0.514 0.482 6.2946210360851e-36 "4" "TERF2IP"
"ASNS" 4.37731638183973e-40 0.300537478898333 0.346 0.264 1.21221022562288e-35 "4" "ASNS"
"SNHG7" 5.15442082373973e-40 0.313618853260494 0.552 0.517 1.42741375871824e-35 "4" "SNHG7"
"EIF1B" 2.09874324832884e-39 0.348866434400017 0.539 0.526 5.81204967759707e-35 "4" "EIF1B"
"MRPL32" 2.45581516103658e-39 0.4287907863578 0.554 0.55 6.80088892545859e-35 "4" "MRPL32"
"SMC5" 3.51224441701076e-39 0.315276562063486 0.327 0.255 9.72645846402789e-35 "4" "SMC5"
"RAB5A" 3.51421606301766e-39 0.322126521075158 0.449 0.401 9.73191854331481e-35 "4" "RAB5A"
"CEBPZ" 8.46894121499743e-39 0.335290749628579 0.363 0.29 2.34530389066924e-34 "4" "CEBPZ"
"G3BP1" 1.01738148844302e-38 0.312426487992276 0.467 0.415 2.81743455594524e-34 "4" "G3BP1"
"THAP9-AS1" 1.60878453120722e-38 0.316516814573184 0.347 0.272 4.45520700227216e-34 "4" "THAP9-AS1"
"STC21" 3.41982544789931e-38 0.50987644685325 0.499 0.429 9.47052261286756e-34 "4" "STC2"
"UBA2" 4.13682969569093e-38 0.321112934115042 0.398 0.336 1.14561224762769e-33 "4" "UBA2"
"SRSF4" 4.73205695996927e-38 0.286621357505049 0.534 0.509 1.31044853392429e-33 "4" "SRSF4"
"MAPRE1" 5.85592476384613e-38 0.331205742832925 0.484 0.449 1.62168124485191e-33 "4" "MAPRE1"
"IARS" 7.71787513855707e-38 0.27894416593388 0.376 0.303 2.13731116212061e-33 "4" "IARS"
"RANBP1" 3.60045629844264e-37 0.265343264553601 0.664 0.664 9.97074362727721e-33 "4" "RANBP1"
"EIF61" 6.85214684300993e-37 0.277314530925479 0.742 0.742 1.89756502523474e-32 "4" "EIF6"
"SLC7A5" 1.29349055703125e-36 0.266098482238878 0.278 0.197 3.58206339958663e-32 "4" "SLC7A5"
"SRPRB" 1.67348484425821e-36 0.314875863856305 0.423 0.362 4.63438157920427e-32 "4" "SRPRB"
"PITPNB" 1.93219263731906e-36 0.288486382258814 0.397 0.331 5.35082107052767e-32 "4" "PITPNB"
"TWISTNB" 2.16756517492212e-36 0.3569408185744 0.341 0.27 6.00263823891182e-32 "4" "TWISTNB"
"TMEM43" 8.8288617178944e-36 0.296284188489767 0.354 0.282 2.4449766755365e-31 "4" "TMEM43"
